industry
REIT - Diversified
Oil & Gas E&P
Conglomerates
Specialty Chemicals
Oil & Gas Refining & Marketing
Apparel Retail
Furnishings
Banks - Diversified
Diversified Industrials
Oil & Gas Integrated
Telecom Services
Healthcare Plans
Drug Manufacturers - Major
Broadcasting
Utilities - Regulated Gas
Other Precious Metals & Mining
REIT - Office
Computer Systems
Credit Services
Airlines
REIT - Residential
REIT - Retail
Utilities - Regulated Electric
Utilities - Renewable
Farm & Heavy Construction Machinery
REIT - Hotel & Motel
Auto Manufacturers
Electronic Gaming & Multimedia
Coking Coal
Department Stores
Tools & Accessories
Uranium
Confectioners
Financial Conglomerates
Aerospace & Defense
Rental & Leasing Services
Consumer Electronics
Integrated Freight & Logistics
Internet Retail
Metal Fabrication
Tobacco
Shipping & Ports
Shell Companies
Specialty Retail
Building Materials
Packaged Foods
Textile Manufacturing
Beverages - Wineries & Distilleries
Airports & Air Services
Other Industrial Metals & Mining
Electrical Equipment & Parts
Health Information Services
Paper & Paper Products
Medical Instruments & Supplies
Agricultural Inputs
Resorts & Casinos
Luxury Goods
REIT - Industrial
Asset Management
Insurance - Life
Gambling
Semiconductors
Savings & Cooperative Banks
Lodging
Copper
""
Electronic Components
Specialty Business Services
Software - Infrastructure
Security & Protection Services
Trucking
Real Estate - Diversified
Utilities - Regulated Water
Banks - Regional
Engineering & Construction
Entertainment
Drug Manufacturers - Specialty & Generic
Insurance - Property & Casualty
Oil & Gas Midstream
Real Estate - Development
Personal Services
Restaurants
Solar
Apparel Manufacturing
Insurance - Reinsurance
Industrial Metals & Minerals
Diagnostics & Research
Auto Parts
Consulting Services
Waste Management
Packaging & Containers
Furnishings Fixtures & Appliances
Residential Construction
Medical Care Facilities
Communication Equipment
Biotechnology
Household & Personal Products
Computer Hardware
Advertising Agencies
Internet Content & Information
Home Improvement Retail
Oil & Gas Drilling
Lumber & Wood Production
Farm Products
Scientific & Technical Instruments
Capital Markets
Thermal Coal
Real Estate Services
REIT - Specialty
Gold
Medical Distribution
Aluminum
REIT - Mortgage
Building Products & Equipment
Industrial Distribution
Insurance - Diversified
Publishing
Pharmaceutical Retailers
Utilities - Diversified
Discount Stores
Beverages - Non-Alcoholic
Pollution & Treatment Controls
Marine Shipping
Infrastructure Operations
Financial Data & Stock Exchanges
Mortgage Finance
Education & Training Services
Auto & Truck Dealerships
Medical Devices
Business Equipment & Supplies
Steel
Specialty Industrial Machinery
Insurance Brokers
Footwear & Accessories
Utilities - Independent Power Producers
Beverages - Brewers
Semiconductor Equipment & Materials
Travel Services
Oil & Gas Equipment & Services
Electronics & Computer Distribution
REIT - Healthcare Facilities
Food Distribution
Railroads
Chemicals
Recreational Vehicles
Drug Manufacturers - General
Software - Application
Insurance - Specialty
Information Technology Services
Grocery Stores
Leisure
Staffing & Employment Services
